YR,Plot,Strains,MG,PD,Rep,Irr,FinalCFU,LogCFU,AUDPC,LogAUDPC,YldKgHa
2015,107,60561121,4,1,1,Irr,2600.00,3.41,1700.00,3.23,2618.02
2015,108,60561121,4,1,1,Nonirr,0.00,0.00,400.00,2.60,2255.43
2015,113,DS97949,4,1,1,Irr,2200.00,3.34,1300.00,3.11,974.28
2015,114,DS97949,4,1,1,Nonirr,94200.00,4.97,47300.00,4.67,1135.38
2015,115,LS980358,4,1,1,Irr,1200.00,3.08,2000.00,3.30,875.11
2015,116,LS980358,4,1,1,Nonirr,1600.00,3.20,1300.00,3.11,1392.29
2015,117,DT974290,4,1,1,Nonirr,1200.00,3.08,2300.00,3.36,3689.86
2015,118,DT974290,4,1,1,Irr,600.00,2.78,3600.00,3.56,4762.36
2015,121,60561331,5,1,1,Nonirr,21200.00,4.33,10800.00,4.03,3407.30
2015,122,60561331,5,1,1,Irr,2000.00,3.30,1600.00,3.20,3553.39
2015,133,6070242,4,1,1,Irr,21000.00,4.32,10500.00,4.02,1527.19
2015,134,6070242,4,1,1,Nonirr,141400.00,5.15,71300.00,4.85,983.03
2015,137,DS880,5,1,1,Irr,200.00,2.30,500.00,2.70,3453.20
2015,138,DS880,5,1,1,Nonirr,2800.00,3.45,3400.00,3.53,3099.19
2015,141,Pharaoh,4,1,1,Nonirr,1600.00,3.20,10600.00,4.03,2426.62
2015,142,Pharaoh,4,1,1,Irr,2200.00,3.34,2400.00,3.38,2495.18
2015,203,DS97949,4,1,2,Nonirr,400.00,2.60,400.00,2.60,462.70
2015,204,DS97949,4,1,2,Irr,6200.00,3.79,3300.00,3.52,535.55
2015,219,LS980358,4,1,2,Nonirr,54400.00,4.74,27600.00,4.44,974.74
2015,220,LS980358,4,1,2,Irr,53600.00,4.73,27100.00,4.43,1017.55
2015,225,DT974290,4,1,2,Nonirr,0.00,0.00,1200.00,3.08,3933.08
2015,226,DT974290,4,1,2,Irr,5200.00,3.72,2900.00,3.46,3739.22
2015,229,Pharaoh,4,1,2,Nonirr,2400.00,3.38,4400.00,3.64,1696.84
2015,230,Pharaoh,4,1,2,Irr,101000.00,5.00,74300.00,4.87,2809.50
